Question ID,Fold,Answer,Category,Text
3009,train,Henry IV of France,History,"With the assistence of his chief minister, the Duc de Sully, he lowered taxes on peasantry, promoted economic recovery, and instituted a tax on the Paulette. ||| Victor at Ivry and Arquet, he was excluded from succession by the Treaty of Nemours, but won a great victory at Coutras. ||| His excommunication was lifted by Clement VIII, but that pope later claimed to be crucified when this monarch promulgated the Edict of Nantes. ||| For 10 points, name this French king, the first Bourbon who admitted that ""Paris is worth a mass"" when he converted following the War of the Three Henrys."
200192,train,Great Famine (Ireland),History:Europe,"During this event, Charles Wood instructed Lord Lieutenant Clarendon to seize all taxable assets of property owners. ||| The Treason Felony Act penalized speaking out against the harsh measures in response to this event. ||| Charles Trevelyan called this event ""the judgment of God."" ||| During it, Prime Minister John Russell succeeded a man whose namesake ""brimstone"" was Indian meal sent to aid sufferers, Robert Peel. ||| Black Fever afflicted the victims of this event, during which so-called ""coffin ships"" brought many immigrants to Canada and America. ||| For 10 points, name this event in the 1840s in which an airborne fungus destroyed most of the main staple of Ireland."
205242,train,Mass spectrometry,Science:Chemistry,"One form of this technique based off the cyclotron is FT-ICR. ||| A reflectron is a variant on a common analyzer used in this technique which works by accelerating all analyte particles to the same kinetic energy, then passing them through a drift tube to measure their time-of-flight. ||| The first step in the tandem version of this technique often employs ""soft"" techniques such as field desorption. ||| Electron impact is a simple way of prepping samples for this technique which induces (*) fragmentation. ||| A typical graph generated by using this technique on an unbranched alkane consists of series of large peaks spaced 14 units apart with a few small peaks in between representing isotope substitution. ||| For 10 points, name this technique in which a molecule is ionized and a detector is used to calculate its m/z, or mass-to-charge ratio."
202398,train,Ester,Science:Chemistry,"A carbon alpha to two carbons with this functionality is alkylated and then decarboxylated in a reaction named for the malonic type of these compounds. ||| An ortho, para selective rearrangement that yields acyl phenols reacts one of these compounds with a Lewis acid. ||| Compounds with a carbonyl functionality two carbons away from this functionality are synthesized from compounds that have two instances of this functionality in the (*) Dieckmann condensation, which produces the ""beta keto"" variety of these. ||| Alcohols are refluxed with carboxylic acids to synthesize these compounds. ||| Triglycerides feature three of these compounds' functionality because fatty acids have been joined to a glycerol backbone. ||| For 10 points, name these compounds produced in a reaction named for Fischer, which have an R-COOR structure."
111634,train,Tyr,Social_Science,"This god is sometimes called Thingsus, which refers to his role as the patron god of assemblies. ||| The Hymiskvitha claims that this god is the son of the giant Hymir, though it also tells how this god helps Thor steal a giant kettle from Hymir. ||| In the Lokasenna, this god defends Freyr from Lokis accusations of incest. ||| A patron goddess of Augsburg known as Zisa may be the consort of this god, though Loki suggests that this gods consort cheats on him. ||| This gods eventual killer lives across the Gjoll river in Gnipahellir cave and has a chest covered in blood and four eyes. ||| For ten points, name this Norse god who will fight Garm at Ragnorak, a deity of oaths and justice who facilitated the use of Gleipnir when he restrained the Fenris Wolf by giving up his hand."
189284,train,Johann Sebastian Bach,Fine_Arts,"This composer was given the task of improvising on a """"Royal Theme"""" provided to him by a monarch, which eventually resulted in his piece The Musical Offering. ||| The fifth part of another work by this composer contains a solo for virtuoso harpsichord. ||| That work was written for the (*) margrave of a certain city. ||| For 10 points, name this German composer whose works include the organ piece Toccata and Fugue in D minor, The Well-Tempered Clavier, and the Brandenburg Concertos."
3873,train,Inca Empire,History,"Their gods included Illapa, the god of thunder, Mamaquilla, a moon goddess, and Viracocha, the great creator. ||| Lesser powers were ""huacas,"" spirits that inhabited natural objects such as rocks and mountains. ||| None of them could save Huayna Capac from smallpox in 1527, or prevent civil war between his sons Huascar and Atahualpa. ||| FTP, name this empire centered on Cuzco which was conquered by the forces of Francisco Pizarro."
192507,train,Enthalpy,Science,"This quantity remains constant in the Joule-Thomson effect. ||| It equals internal energy plus the product of pressure and volume. ||| The Gibbs Free Energy is given by this quantity minus the product of temperature and entropy. ||| For a multi-step reaction, it can be calculated independently of the pathway and is equal to the sum of its changes in each step according to (*) Hess's Law. ||| It is positive for an endothermic reaction. ||| For 10 points, name this """"heat content"""" of a thermodynamic system, symbolized capital H."
13075,train,Jesus,Social_Science,"One religion says that this figure was taken to the Orissa region for instruction in the Jagannath Temple, and appeared to a couple named Claudius and Juliet, Roman pagans, on the Tiber River. ||| In another religion, this figure is known as ""kdaba,"" and was originally Mandaean, but perverted the prophecies of his mentor and became an evil figure, like Moses and Abraham. ||| A claimed disciple of this man, a son of Patek, died at Gundeshapur at the hands of Bahram I. ||| Among the figures who have claimed to be him were Marshall Applewhite, the leader of Heaven's Gate, and David Koresh. ||| For 10 points, name this figure recognized in Islam as 'Isa, believed in by the so-called ""Jews for"" him, and by a messload of Christians."
107378,train,Gibbs free energy,Science:Chemistry,"A Frost diagram plots oxidation state against the relative value of this quantity, which can be written as the sum of the product of the number of particles of each chemical component and its chemical potential. ||| The Nernst equation can be derived from the fact that a change in it is equal to the negative product of the number of moles in a reaction, Faraday's constant, and the electrical potential. ||| The negative product of the universal gas constant, the temperature, and the natural logarithm of the equilibrium rate constant gives the change in this quantity as well. ||| Also calculated by subtracting the product of temperature and entropy from the enthalpy, this is, FTP, which thermodynamic quantity that measures the amount of useful work in a system, symbolized G"
